Date,Open,High,Low,Close,Adj Close,Volume
1997-01-20,null,null,null,null,null,null
1997-01-21,null,null,null,null,null,null
1997-01-22,null,null,null,null,null,null
1997-01-23,null,null,null,null,null,null
1997-01-24,null,null,null,null,null,null
1997-01-27,null,null,null,null,null,null
1997-01-28,null,null,null,null,null,null
1997-01-29,null,null,null,null,null,null
1997-01-30,null,null,null,null,null,null
1997-01-31,null,null,null,null,null,null
1997-02-03,null,null,null,null,null,null
1997-02-04,null,null,null,null,null,null
1997-02-05,null,null,null,null,null,null
1997-02-06,2.283100,2.564850,2.283100,2.525990,2.525990,236739
1997-02-07,null,null,null,null,null,null
1997-02-10,null,null,null,null,null,null
1997-02-11,null,null,null,null,null,null
1997-02-12,null,null,null,null,null,null
1997-02-13,null,null,null,null,null,null
1997-02-14,null,null,null,null,null,null
1997-02-18,null,null,null,null,null,null
1997-02-19,null,null,null,null,null,null
1997-02-20,null,null,null,null,null,null
1997-02-21,null,null,null,null,null,null
1997-02-24,null,null,null,null,null,null
1997-02-25,null,null,null,null,null,null
1997-02-26,null,null,null,null,null,null
1997-02-27,null,null,null,null,null,null
1997-02-28,null,null,null,null,null,null
1997-03-03,null,null,null,null,null,null
1997-03-04,null,null,null,null,null,null
1997-03-05,null,null,null,null,null,null
1997-03-06,null,null,null,null,null,null
1997-03-07,null,null,null,null,null,null
1997-03-10,null,null,null,null,null,null
1997-03-11,null,null,null,null,null,null
1997-03-12,null,null,null,null,null,null
1997-03-13,null,null,null,null,null,null
1997-03-14,null,null,null,null,null,null
1997-03-17,null,null,null,null,null,null
1997-03-18,null,null,null,null,null,null
1997-03-19,null,null,null,null,null,null
1997-03-20,null,null,null,null,null,null
1997-03-21,null,null,null,null,null,null
1997-03-24,null,null,null,null,null,null
1997-03-25,null,null,null,null,null,null
1997-03-26,null,null,null,null,null,null
1997-03-27,null,null,null,null,null,null
1997-03-31,null,null,null,null,null,null
1997-04-01,null,null,null,null,null,null
1997-04-02,null,null,null,null,null,null
1997-04-03,null,null,null,null,null,null
1997-04-04,null,null,null,null,null,null
1997-04-07,null,null,null,null,null,null
1997-04-08,null,null,null,null,null,null
1997-04-09,null,null,null,null,null,null
1997-04-10,null,null,null,null,null,null
1997-04-11,null,null,null,null,null,null
1997-04-14,null,null,null,null,null,null
1997-04-15,null,null,null,null,null,null
1997-04-16,1.651610,1.651610,1.408720,1.457300,1.457300,18630
1997-04-17,null,null,null,null,null,null
1997-04-18,null,null,null,null,null,null
1997-04-21,null,null,null,null,null,null
1997-04-22,null,null,null,null,null,null
1997-04-23,null,null,null,null,null,null
1997-04-24,null,null,null,null,null,null
1997-04-25,null,null,null,null,null,null
1997-04-28,null,null,null,null,null,null
1997-04-29,null,null,null,null,null,null
1997-04-30,null,null,null,null,null,null
1997-05-01,null,null,null,null,null,null
1997-05-02,null,null,null,null,null,null
1997-05-05,null,null,null,null,null,null
1997-05-06,null,null,null,null,null,null
1997-05-07,null,null,null,null,null,null
1997-05-08,null,null,null,null,null,null
1997-05-09,null,null,null,null,null,null
1997-05-12,null,null,null,null,null,null
1997-05-13,null,null,null,null,null,null
1997-05-14,null,null,null,null,null,null
1997-05-15,null,null,null,null,null,null
1997-05-16,null,null,null,null,null,null
1997-05-19,null,null,null,null,null,null
1997-05-20,null,null,null,null,null,null
1997-05-21,null,null,null,null,null,null
1997-05-22,null,null,null,null,null,null
1997-05-23,null,null,null,null,null,null
1997-05-27,null,null,null,null,null,null
1997-05-28,null,null,null,null,null,null
1997-05-29,null,null,null,null,null,null
1997-05-30,null,null,null,null,null,null
1997-06-02,null,null,null,null,null,null
1997-06-03,null,null,null,null,null,null
1997-06-04,null,null,null,null,null,null
1997-06-05,null,null,null,null,null,null
1997-06-06,null,null,null,null,null,null
1997-06-09,null,null,null,null,null,null
1997-06-10,null,null,null,null,null,null
1997-06-11,null,null,null,null,null,null
1997-06-12,null,null,null,null,null,null
1997-06-13,null,null,null,null,null,null
1997-06-16,null,null,null,null,null,null
1997-06-17,null,null,null,null,null,null
1997-06-18,null,null,null,null,null,null
1997-06-19,null,null,null,null,null,null
1997-06-20,null,null,null,null,null,null
1997-06-23,null,null,null,null,null,null
1997-06-24,null,null,null,null,null,null
1997-06-25,null,null,null,null,null,null
1997-06-26,null,null,null,null,null,null
1997-06-27,null,null,null,null,null,null
1997-06-30,null,null,null,null,null,null
1997-07-01,null,null,null,null,null,null
1997-07-02,null,null,null,null,null,null
1997-07-03,null,null,null,null,null,null
1997-07-07,null,null,null,null,null,null
1997-07-08,null,null,null,null,null,null
1997-07-09,null,null,null,null,null,null
1997-07-10,null,null,null,null,null,null
1997-07-11,null,null,null,null,null,null
1997-07-14,null,null,null,null,null,null
1997-07-15,null,null,null,null,null,null
1997-07-16,null,null,null,null,null,null
1997-07-17,null,null,null,null,null,null
1997-07-18,null,null,null,null,null,null
1997-07-21,null,null,null,null,null,null
1997-07-22,null,null,null,null,null,null
1997-07-23,null,null,null,null,null,null
1997-07-24,null,null,null,null,null,null
1997-07-25,null,null,null,null,null,null
1997-07-28,null,null,null,null,null,null
1997-07-29,null,null,null,null,null,null
1997-07-30,null,null,null,null,null,null
1997-07-31,null,null,null,null,null,null
1997-08-01,null,null,null,null,null,null
1997-08-04,null,null,null,null,null,null
1997-08-05,null,null,null,null,null,null
1997-08-06,null,null,null,null,null,null
1997-08-07,null,null,null,null,null,null
1997-08-08,null,null,null,null,null,null
1997-08-11,null,null,null,null,null,null
1997-08-12,null,null,null,null,null,null
1997-08-13,null,null,null,null,null,null
1997-08-14,null,null,null,null,null,null
1997-08-15,null,null,null,null,null,null
1997-08-18,null,null,null,null,null,null
1997-08-19,null,null,null,null,null,null
1997-08-20,null,null,null,null,null,null
1997-08-21,null,null,null,null,null,null
1997-08-22,null,null,null,null,null,null
1997-08-25,null,null,null,null,null,null
1997-08-26,null,null,null,null,null,null
1997-08-27,null,null,null,null,null,null
1997-08-28,null,null,null,null,null,null
1997-08-29,null,null,null,null,null,null
1997-09-02,null,null,null,null,null,null
1997-09-03,null,null,null,null,null,null
1997-09-04,null,null,null,null,null,null
1997-09-05,null,null,null,null,null,null
1997-09-08,null,null,null,null,null,null
1997-09-09,null,null,null,null,null,null
1997-09-10,null,null,null,null,null,null
1997-09-11,null,null,null,null,null,null
1997-09-12,null,null,null,null,null,null
1997-09-15,null,null,null,null,null,null
1997-09-16,null,null,null,null,null,null
1997-09-17,null,null,null,null,null,null
1997-09-18,null,null,null,null,null,null
1997-09-19,null,null,null,null,null,null
1997-09-22,null,null,null,null,null,null
1997-09-23,null,null,null,null,null,null
1997-09-24,null,null,null,null,null,null
1997-09-25,null,null,null,null,null,null
1997-09-26,null,null,null,null,null,null
1997-09-29,null,null,null,null,null,null
1997-09-30,null,null,null,null,null,null
1997-10-01,null,null,null,null,null,null
1997-10-02,null,null,null,null,null,null
1997-10-03,null,null,null,null,null,null
1997-10-06,null,null,null,null,null,null
1997-10-07,null,null,null,null,null,null
1997-10-08,null,null,null,null,null,null
1997-10-09,null,null,null,null,null,null
1997-10-10,null,null,null,null,null,null
1997-10-13,null,null,null,null,null,null
1997-10-14,null,null,null,null,null,null
1997-10-15,null,null,null,null,null,null
1997-10-16,null,null,null,null,null,null
1997-10-17,null,null,null,null,null,null
1997-10-20,null,null,null,null,null,null
1997-10-21,null,null,null,null,null,null
1997-10-22,null,null,null,null,null,null
1997-10-23,null,null,null,null,null,null
1997-10-24,null,null,null,null,null,null
1997-10-27,null,null,null,null,null,null
1997-10-28,null,null,null,null,null,null
1997-10-29,null,null,null,null,null,null
1997-10-30,null,null,null,null,null,null
1997-10-31,null,null,null,null,null,null
1997-11-03,null,null,null,null,null,null
1997-11-04,null,null,null,null,null,null
1997-11-05,null,null,null,null,null,null
1997-11-06,null,null,null,null,null,null
1997-11-07,null,null,null,null,null,null
1997-11-10,null,null,null,null,null,null
1997-11-11,null,null,null,null,null,null
1997-11-12,null,null,null,null,null,null
1997-11-13,null,null,null,null,null,null
1997-11-14,null,null,null,null,null,null
1997-11-17,2.720290,2.720290,2.574560,2.623140,2.623140,135147
1997-11-18,null,null,null,null,null,null
1997-11-19,null,null,null,null,null,null
1997-11-20,null,null,null,null,null,null
1997-11-21,null,null,null,null,null,null
1997-11-24,null,null,null,null,null,null
1997-11-25,null,null,null,null,null,null
1997-11-26,null,null,null,null,null,null
1997-11-28,null,null,null,null,null,null
1997-12-01,null,null,null,null,null,null
1997-12-02,null,null,null,null,null,null
1997-12-03,null,null,null,null,null,null
1997-12-04,null,null,null,null,null,null
1997-12-05,null,null,null,null,null,null
1997-12-08,null,null,null,null,null,null
1997-12-09,null,null,null,null,null,null
1997-12-10,null,null,null,null,null,null
1997-12-11,null,null,null,null,null,null
1997-12-12,null,null,null,null,null,null
1997-12-15,null,null,null,null,null,null
1997-12-16,null,null,null,null,null,null
1997-12-17,null,null,null,null,null,null
1997-12-18,null,null,null,null,null,null
1997-12-19,null,null,null,null,null,null
1997-12-22,null,null,null,null,null,null
1997-12-23,null,null,null,null,null,null
1997-12-24,null,null,null,null,null,null
1997-12-26,null,null,null,null,null,null
1997-12-29,null,null,null,null,null,null
1997-12-30,null,null,null,null,null,null
1997-12-31,null,null,null,null,null,null
1998-01-02,null,null,null,null,null,null
1998-01-05,null,null,null,null,null,null
1998-01-06,null,null,null,null,null,null
1998-01-07,null,null,null,null,null,null
1998-01-08,null,null,null,null,null,null
1998-01-09,null,null,null,null,null,null
1998-01-12,null,null,null,null,null,null
1998-01-13,null,null,null,null,null,null
1998-01-14,null,null,null,null,null,null
1998-01-15,null,null,null,null,null,null
1998-01-16,null,null,null,null,null,null
1998-01-20,null,null,null,null,null,null
1998-01-21,null,null,null,null,null,null
1998-01-22,null,null,null,null,null,null
1998-01-23,null,null,null,null,null,null
1998-01-26,null,null,null,null,null,null
1998-01-27,null,null,null,null,null,null
1998-01-28,null,null,null,null,null,null
1998-01-29,null,null,null,null,null,null
1998-01-30,null,null,null,null,null,null
1998-02-02,null,null,null,null,null,null
1998-02-03,null,null,null,null,null,null
1998-02-04,null,null,null,null,null,null
1998-02-05,null,null,null,null,null,null
1998-02-06,null,null,null,null,null,null
1998-02-09,null,null,null,null,null,null
1998-02-10,null,null,null,null,null,null
1998-02-11,null,null,null,null,null,null
1998-02-12,null,null,null,null,null,null
1998-02-13,null,null,null,null,null,null
1998-02-17,null,null,null,null,null,null
1998-02-18,null,null,null,null,null,null
1998-02-19,null,null,null,null,null,null
1998-02-20,null,null,null,null,null,null
1998-02-23,null,null,null,null,null,null
1998-02-24,null,null,null,null,null,null
1998-02-25,null,null,null,null,null,null
1998-02-26,null,null,null,null,null,null
1998-02-27,null,null,null,null,null,null
1998-03-02,null,null,null,null,null,null
1998-03-03,null,null,null,null,null,null
1998-03-04,null,null,null,null,null,null
1998-03-05,null,null,null,null,null,null
1998-03-06,null,null,null,null,null,null
1998-03-09,null,null,null,null,null,null
1998-03-10,null,null,null,null,null,null
1998-03-11,null,null,null,null,null,null
1998-03-12,null,null,null,null,null,null
1998-03-13,null,null,null,null,null,null
1998-03-16,null,null,null,null,null,null
1998-03-17,null,null,null,null,null,null
1998-03-18,null,null,null,null,null,null
1998-03-19,null,null,null,null,null,null
1998-03-20,null,null,null,null,null,null
1998-03-23,null,null,null,null,null,null
1998-03-24,null,null,null,null,null,null
1998-03-25,null,null,null,null,null,null
1998-03-26,null,null,null,null,null,null
1998-03-27,null,null,null,null,null,null
1998-03-30,null,null,null,null,null,null
1998-03-31,null,null,null,null,null,null
1998-04-01,null,null,null,null,null,null
1998-04-02,null,null,null,null,null,null
1998-04-03,null,null,null,null,null,null
1998-04-06,null,null,null,null,null,null
1998-04-07,null,null,null,null,null,null
1998-04-08,null,null,null,null,null,null
1998-04-09,null,null,null,null,null,null
1998-04-13,null,null,null,null,null,null
1998-04-14,null,null,null,null,null,null
1998-04-15,null,null,null,null,null,null
1998-04-16,null,null,null,null,null,null
1998-04-17,null,null,null,null,null,null
1998-04-20,null,null,null,null,null,null
1998-04-21,null,null,null,null,null,null
1998-04-22,null,null,null,null,null,null
1998-04-23,null,null,null,null,null,null
1998-04-24,null,null,null,null,null,null
1998-04-27,null,null,null,null,null,null
1998-04-28,null,null,null,null,null,null
1998-04-29,null,null,null,null,null,null
1998-04-30,null,null,null,null,null,null
1998-05-01,null,null,null,null,null,null
1998-05-04,null,null,null,null,null,null
1998-05-05,null,null,null,null,null,null
1998-05-06,null,null,null,null,null,null
1998-05-07,1.049260,1.097830,1.020110,1.049260,1.049260,84403
1998-05-08,null,null,null,null,null,null
1998-05-11,null,null,null,null,null,null
1998-05-12,null,null,null,null,null,null
1998-05-13,null,null,null,null,null,null
1998-05-14,null,null,null,null,null,null
1998-05-15,null,null,null,null,null,null
1998-05-18,null,null,null,null,null,null
1998-05-19,null,null,null,null,null,null
1998-05-20,null,null,null,null,null,null
1998-05-21,null,null,null,null,null,null
1998-05-22,null,null,null,null,null,null
1998-05-26,null,null,null,null,null,null
1998-05-27,null,null,null,null,null,null
1998-05-28,null,null,null,null,null,null
1998-05-29,null,null,null,null,null,null
1998-06-01,null,null,null,null,null,null
1998-06-02,null,null,null,null,null,null
1998-06-03,null,null,null,null,null,null
1998-06-04,null,null,null,null,null,null
1998-06-05,null,null,null,null,null,null
1998-06-08,null,null,null,null,null,null
1998-06-09,null,null,null,null,null,null
1998-06-10,null,null,null,null,null,null
1998-06-11,null,null,null,null,null,null
1998-06-12,null,null,null,null,null,null
1998-06-15,null,null,null,null,null,null
1998-06-16,null,null,null,null,null,null
1998-06-17,null,null,null,null,null,null
1998-06-18,null,null,null,null,null,null
1998-06-19,null,null,null,null,null,null
1998-06-22,null,null,null,null,null,null
1998-06-23,null,null,null,null,null,null
1998-06-24,null,null,null,null,null,null
1998-06-25,null,null,null,null,null,null
1998-06-26,null,null,null,null,null,null
1998-06-29,null,null,null,null,null,null
1998-06-30,null,null,null,null,null,null
1998-07-01,null,null,null,null,null,null
1998-07-02,null,null,null,null,null,null
1998-07-06,null,null,null,null,null,null
1998-07-07,null,null,null,null,null,null
1998-07-08,null,null,null,null,null,null
1998-07-09,null,null,null,null,null,null
1998-07-10,null,null,null,null,null,null
1998-07-13,null,null,null,null,null,null
1998-07-14,null,null,null,null,null,null
1998-07-15,null,null,null,null,null,null
1998-07-16,null,null,null,null,null,null
1998-07-17,null,null,null,null,null,null
1998-07-20,0.495480,0.495480,0.408040,0.408040,0.408040,70507
1998-07-21,null,null,null,null,null,null
1998-07-22,null,null,null,null,null,null
1998-07-23,null,null,null,null,null,null
1998-07-24,null,null,null,null,null,null
1998-07-27,null,null,null,null,null,null
1998-07-28,null,null,null,null,null,null
1998-07-29,null,null,null,null,null,null
1998-07-30,null,null,null,null,null,null
1998-07-31,null,null,null,null,null,null
1998-08-03,null,null,null,null,null,null
1998-08-04,null,null,null,null,null,null
1998-08-05,null,null,null,null,null,null
1998-08-06,null,null,null,null,null,null
1998-08-07,null,null,null,null,null,null
1998-08-10,null,null,null,null,null,null
1998-08-11,null,null,null,null,null,null
1998-08-12,null,null,null,null,null,null
1998-08-13,null,null,null,null,null,null
1998-08-14,null,null,null,null,null,null
1998-08-17,null,null,null,null,null,null
1998-08-18,null,null,null,null,null,null
1998-08-19,null,null,null,null,null,null
1998-08-20,null,null,null,null,null,null
1998-08-21,null,null,null,null,null,null
1998-08-24,null,null,null,null,null,null
1998-08-25,null,null,null,null,null,null
1998-08-26,null,null,null,null,null,null
1998-08-27,null,null,null,null,null,null
1998-08-28,null,null,null,null,null,null
1998-08-31,null,null,null,null,null,null
1998-09-01,null,null,null,null,null,null
1998-09-02,null,null,null,null,null,null
1998-09-03,null,null,null,null,null,null
1998-09-04,null,null,null,null,null,null
1998-09-08,null,null,null,null,null,null
1998-09-09,null,null,null,null,null,null
1998-09-10,null,null,null,null,null,null
1998-09-11,null,null,null,null,null,null
1998-09-14,null,null,null,null,null,null
1998-09-15,null,null,null,null,null,null
1998-09-16,null,null,null,null,null,null
1998-09-17,null,null,null,null,null,null
1998-09-18,null,null,null,null,null,null
1998-09-21,null,null,null,null,null,null
1998-09-22,null,null,null,null,null,null
1998-09-23,null,null,null,null,null,null
1998-09-24,null,null,null,null,null,null
1998-09-25,null,null,null,null,null,null
1998-09-28,null,null,null,null,null,null
1998-09-29,null,null,null,null,null,null
1998-09-30,null,null,null,null,null,null
1998-10-01,null,null,null,null,null,null
1998-10-02,null,null,null,null,null,null
1998-10-05,null,null,null,null,null,null
1998-10-06,null,null,null,null,null,null
1998-10-07,null,null,null,null,null,null
1998-10-08,0.213740,0.213740,0.213740,0.213740,0.213740,11837
1998-10-09,null,null,null,null,null,null
1998-10-12,null,null,null,null,null,null
1998-10-13,null,null,null,null,null,null
1998-10-14,null,null,null,null,null,null
1998-10-15,null,null,null,null,null,null
1998-10-16,null,null,null,null,null,null
1998-10-19,null,null,null,null,null,null
1998-10-20,null,null,null,null,null,null
1998-10-21,null,null,null,null,null,null
1998-10-22,null,null,null,null,null,null
1998-10-23,null,null,null,null,null,null
1998-10-26,null,null,null,null,null,null
1998-10-27,null,null,null,null,null,null
1998-10-28,null,null,null,null,null,null
1998-10-29,null,null,null,null,null,null
1998-10-30,null,null,null,null,null,null
1998-11-02,0.252600,0.252600,0.242880,0.242880,0.242880,15440
1998-11-03,null,null,null,null,null,null
1998-11-04,null,null,null,null,null,null
1998-11-05,null,null,null,null,null,null
1998-11-06,null,null,null,null,null,null
1998-11-09,null,null,null,null,null,null
1998-11-10,null,null,null,null,null,null
1998-11-11,null,null,null,null,null,null
1998-11-12,null,null,null,null,null,null
1998-11-13,null,null,null,null,null,null
1998-11-16,null,null,null,null,null,null
1998-11-17,null,null,null,null,null,null
1998-11-18,null,null,null,null,null,null
1998-11-19,null,null,null,null,null,null
1998-11-20,null,null,null,null,null,null
1998-11-23,null,null,null,null,null,null
1998-11-24,null,null,null,null,null,null
1998-11-25,null,null,null,null,null,null
1998-11-27,null,null,null,null,null,null
1998-11-30,null,null,null,null,null,null
1998-12-01,null,null,null,null,null,null
1998-12-02,null,null,null,null,null,null
1998-12-03,null,null,null,null,null,null
1998-12-04,null,null,null,null,null,null
1998-12-07,null,null,null,null,null,null
1998-12-08,null,null,null,null,null,null
1998-12-09,null,null,null,null,null,null
1998-12-10,null,null,null,null,null,null
1998-12-11,null,null,null,null,null,null
1998-12-14,null,null,null,null,null,null
1998-12-15,null,null,null,null,null,null
1998-12-16,null,null,null,null,null,null
1998-12-17,null,null,null,null,null,null
1998-12-18,null,null,null,null,null,null
1998-12-21,null,null,null,null,null,null
1998-12-22,null,null,null,null,null,null
1998-12-23,null,null,null,null,null,null
1998-12-24,null,null,null,null,null,null
1998-12-28,null,null,null,null,null,null
1998-12-29,null,null,null,null,null,null
1998-12-30,null,null,null,null,null,null
1998-12-31,null,null,null,null,null,null
1999-01-04,null,null,null,null,null,null
1999-01-05,null,null,null,null,null,null
1999-01-06,null,null,null,null,null,null
1999-01-07,null,null,null,null,null,null
1999-01-08,null,null,null,null,null,null
1999-01-11,null,null,null,null,null,null
1999-01-12,null,null,null,null,null,null
1999-01-13,null,null,null,null,null,null
1999-01-14,null,null,null,null,null,null
1999-01-15,null,null,null,null,null,null
1999-01-19,null,null,null,null,null,null
1999-01-20,null,null,null,null,null,null
1999-01-21,null,null,null,null,null,null
1999-01-22,null,null,null,null,null,null
1999-01-25,null,null,null,null,null,null
1999-01-26,null,null,null,null,null,null
1999-01-27,null,null,null,null,null,null
1999-01-28,null,null,null,null,null,null
1999-01-29,null,null,null,null,null,null
1999-02-01,null,null,null,null,null,null
1999-02-02,null,null,null,null,null,null
1999-02-03,null,null,null,null,null,null
1999-02-04,null,null,null,null,null,null
1999-02-05,null,null,null,null,null,null
1999-02-08,null,null,null,null,null,null
1999-02-09,null,null,null,null,null,null
1999-02-10,null,null,null,null,null,null
1999-02-11,null,null,null,null,null,null
1999-02-12,null,null,null,null,null,null
1999-02-16,null,null,null,null,null,null
1999-02-17,null,null,null,null,null,null
1999-02-18,null,null,null,null,null,null
1999-02-19,null,null,null,null,null,null
1999-02-22,null,null,null,null,null,null
1999-02-23,null,null,null,null,null,null
1999-02-24,null,null,null,null,null,null
1999-02-25,null,null,null,null,null,null
1999-02-26,null,null,null,null,null,null
1999-03-01,null,null,null,null,null,null
1999-03-02,null,null,null,null,null,null
1999-03-03,null,null,null,null,null,null
1999-03-04,null,null,null,null,null,null
1999-03-05,null,null,null,null,null,null
1999-03-08,null,null,null,null,null,null
1999-03-09,null,null,null,null,null,null
1999-03-10,null,null,null,null,null,null
1999-03-11,null,null,null,null,null,null
1999-03-12,0.204020,0.213740,0.194310,0.213740,0.213740,33143
1999-03-15,null,null,null,null,null,null
1999-03-16,null,null,null,null,null,null
1999-03-17,null,null,null,null,null,null
1999-03-18,null,null,null,null,null,null
1999-03-19,null,null,null,null,null,null
1999-03-22,null,null,null,null,null,null
1999-03-23,null,null,null,null,null,null
1999-03-24,null,null,null,null,null,null
1999-03-25,null,null,null,null,null,null
1999-03-26,null,null,null,null,null,null
1999-03-29,null,null,null,null,null,null
1999-03-30,null,null,null,null,null,null
1999-03-31,null,null,null,null,null,null
1999-04-01,null,null,null,null,null,null
1999-04-05,null,null,null,null,null,null
1999-04-06,null,null,null,null,null,null
1999-04-07,null,null,null,null,null,null
1999-04-08,null,null,null,null,null,null
1999-04-09,null,null,null,null,null,null
1999-04-12,null,null,null,null,null,null
1999-04-13,null,null,null,null,null,null
1999-04-14,null,null,null,null,null,null
1999-04-15,0.136010,0.145730,0.136010,0.145730,0.145730,25218
1999-04-16,null,null,null,null,null,null
1999-04-19,null,null,null,null,null,null
1999-04-20,null,null,null,null,null,null
1999-04-21,null,null,null,null,null,null
1999-04-22,null,null,null,null,null,null
1999-04-23,null,null,null,null,null,null
1999-04-26,0.145730,0.155450,0.145730,0.155450,0.155450,17498
1999-04-27,null,null,null,null,null,null
1999-04-28,null,null,null,null,null,null
1999-04-29,null,null,null,null,null,null
1999-04-30,null,null,null,null,null,null
1999-05-03,null,null,null,null,null,null
1999-05-04,null,null,null,null,null,null
1999-05-05,null,null,null,null,null,null
1999-05-06,null,null,null,null,null,null
1999-05-07,null,null,null,null,null,null
1999-05-10,null,null,null,null,null,null
1999-05-11,null,null,null,null,null,null
1999-05-12,null,null,null,null,null,null
1999-05-13,null,null,null,null,null,null
1999-05-14,null,null,null,null,null,null
1999-05-17,null,null,null,null,null,null
1999-05-18,null,null,null,null,null,null
1999-05-19,null,null,null,null,null,null
1999-05-20,null,null,null,null,null,null
1999-05-21,null,null,null,null,null,null
1999-05-24,null,null,null,null,null,null
1999-05-25,null,null,null,null,null,null
1999-05-26,null,null,null,null,null,null
1999-05-27,null,null,null,null,null,null
1999-05-28,null,null,null,null,null,null
1999-06-01,null,null,null,null,null,null
1999-06-02,null,null,null,null,null,null
1999-06-03,null,null,null,null,null,null
1999-06-04,null,null,null,null,null,null
1999-06-07,null,null,null,null,null,null
1999-06-08,null,null,null,null,null,null
1999-06-09,null,null,null,null,null,null
1999-06-10,null,null,null,null,null,null
1999-06-11,null,null,null,null,null,null
1999-06-14,null,null,null,null,null,null
1999-06-15,null,null,null,null,null,null
1999-06-16,null,null,null,null,null,null
1999-06-17,null,null,null,null,null,null
1999-06-18,null,null,null,null,null,null
1999-06-21,null,null,null,null,null,null
1999-06-22,null,null,null,null,null,null
1999-06-23,null,null,null,null,null,null
1999-06-24,null,null,null,null,null,null
1999-06-25,null,null,null,null,null,null
1999-06-28,null,null,null,null,null,null
1999-06-29,null,null,null,null,null,null
1999-06-30,null,null,null,null,null,null
1999-07-01,null,null,null,null,null,null
1999-07-02,null,null,null,null,null,null
1999-07-06,null,null,null,null,null,null
1999-07-07,null,null,null,null,null,null
1999-07-08,null,null,null,null,null,null
1999-07-09,null,null,null,null,null,null
1999-07-12,null,null,null,null,null,null
1999-07-13,null,null,null,null,null,null
1999-07-14,null,null,null,null,null,null
1999-07-15,null,null,null,null,null,null
1999-07-16,0.184590,0.184590,0.155450,0.174880,0.174880,2573
1999-07-19,null,null,null,null,null,null
1999-07-20,null,null,null,null,null,null
1999-07-21,null,null,null,null,null,null
1999-07-22,null,null,null,null,null,null
1999-07-23,null,null,null,null,null,null
1999-07-26,null,null,null,null,null,null
1999-07-27,null,null,null,null,null,null
1999-07-28,null,null,null,null,null,null
1999-07-29,null,null,null,null,null,null
1999-07-30,null,null,null,null,null,null
1999-08-02,null,null,null,null,null,null
1999-08-03,null,null,null,null,null,null
1999-08-04,null,null,null,null,null,null
1999-08-05,null,null,null,null,null,null
1999-08-06,null,null,null,null,null,null
1999-08-09,null,null,null,null,null,null
1999-08-10,null,null,null,null,null,null
1999-08-11,null,null,null,null,null,null
1999-08-12,null,null,null,null,null,null
1999-08-13,null,null,null,null,null,null
1999-08-16,null,null,null,null,null,null
1999-08-17,null,null,null,null,null,null
1999-08-18,null,null,null,null,null,null
1999-08-19,null,null,null,null,null,null
1999-08-20,null,null,null,null,null,null
1999-08-23,null,null,null,null,null,null
1999-08-24,null,null,null,null,null,null
1999-08-25,null,null,null,null,null,null
1999-08-26,null,null,null,null,null,null
1999-08-27,null,null,null,null,null,null
1999-08-30,null,null,null,null,null,null
1999-08-31,null,null,null,null,null,null
1999-09-01,null,null,null,null,null,null
1999-09-02,null,null,null,null,null,null
1999-09-03,null,null,null,null,null,null
